TRIAL BY TRIAL DATA
subject,trial,stimfile,condition,code,resp_1,resp_2,response,distractor,error,init time,RT,MD_1,MD_2,AUC_1,AUC_2,MD_time,x-flip,y-flip,z-MD-separate,z-MD-together,z-AUC-separate,z-AUC-together,comments,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,X_68,X_69,X_70,X_71,X_72,X_73,X_74,X_75,X_76,X_77,X_78,X_79,X_80,X_81,X_82,X_83,X_84,X_85,X_86,X_87,X_88,X_89,X_90,X_91,X_92,X_93,X_94,X_95,X_96,X_97,X_98,X_99,X_100,X_101,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Y_68,Y_69,Y_70,Y_71,Y_72,Y_73,Y_74,Y_75,Y_76,Y_77,Y_78,Y_79,Y_80,Y_81,Y_82,Y_83,Y_84,Y_85,Y_86,Y_87,Y_88,Y_89,Y_90,Y_91,Y_92,Y_93,Y_94,Y_95,Y_96,Y_97,Y_98,Y_99,Y_100,Y_101,
105,3,BOAT,1,prac,WORD,NONWORD,1,1,0,421,2980,,0.2654,,0.3222,2095,11,8,-1.1725,-1.1725,-1.5221,-1.5221,input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0007,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0007,-0.0017,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0008,-0.0008,-0.0009,0,0.0008,0.0017,0.0017,0.0024,0.0031,0.0039,0.0047,0.0047,0.0052,0.0055,0.0055,0.0057,0.0063,0.007,0.0071,0.0007,-0.0296,-0.1169,-0.2208,-0.3987,-0.5786,-0.7376,-0.8422,-0.8972,-0.9008,-0.9008,-0.9008,-0.919,-0.919,-0.9075,-0.8879,-0.8747,-0.8711,-0.8704,-0.867,-0.8629,-0.8625,-0.8625,-0.8625,-0.8625,-0.8624,-0.8577,-0.8512,-0.8478,-0.8469,-0.8469,-0.8469,-0.8469,-0.8469,-0.8469,-0.8469,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.051,0.0521,0.0521,0.0521,0.0521,0.0521,0.0531,0.053,0.0542,0.0547,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0551,0.0581,0.0682,0.0786,0.0834,0.0833,0.0833,0.0833,0.084,0.0888,0.0939,0.0971,0.0969,0.0969,0.097,0.0979,0.0999,0.1009,0.1021,0.1037,0.106,0.1111,0.1177,0.1244,0.1283,0.1361,0.1415,0.1436,0.1443,0.1462,0.1511,0.1573,0.1641,0.1752,0.2163,0.2887,0.4129,0.6302,0.8223,1.1567,1.4766,1.5,1.5,1.5,1.5,1.5,1.4849,1.3814,1.3015,1.2875,1.2875,1.3017,1.3197,1.3436,1.3623,1.375,1.376,1.376,1.376,1.376,1.3762,1.3846,1.3961,1.4037,1.4052,1.4052,1.4052,1.4052,1.4052,1.4052,1.4052,
105,4,SPLERF,1,prac,WORD,NONWORD,2,1,0,952,2184,-0.2738,,-0.3071,,1514,10,7,-1.2108,-1.2108,-1.4526,-1.4526,input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0014,0.0118,0.027,0.0564,0.0711,0.0749,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.076,0.0783,0.0916,0.1542,0.2521,0.3717,0.4928,0.6215,0.7515,0.8792,0.9886,1.0001,0.9992,0.9992,0.9994,0.9888,0.9883,0.9939,0.897,0.8687,0.8198,0.7834,0.763,0.7569,0.757,0.757,0.757,0.7569,0.7586,0.7606,0.7693,0.7778,0.7819,0.7828,0.7828,0.7828,0.7828,0.7828,0.7828,0.7828,0.7828,0.7828,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0499,0.0606,0.074,0.0965,0.1061,0.1113,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115,0.1112,0.1155,0.1229,0.1355,0.1616,0.2367,0.3356,0.4627,0.6075,0.759,0.9118,1.0631,1.2041,1.3262,1.4364,1.4751,1.4893,1.5001,1.5,1.5,1.5001,1.4945,1.462,1.4237,1.3925,1.38,1.378,1.3781,1.3781,1.3781,1.3781,1.3812,1.3856,1.3921,1.3945,1.3948,1.3948,1.3948,1.3948,1.3948,1.3948,1.3948,1.3948,1.3948,
105,5,COIN,1,prac,WORD,NONWORD,1,1,0,390,1747,,0.1881,,0.2056,882,12,10,0.885,0.885,0.9017,0.9017,input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0003,-0.0013,-0.0016,-0.0016,-0.0022,-0.0023,-0.0023,-0.0024,-0.0032,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0023,-0.0089,-0.0363,-0.0829,-0.1481,-0.2269,-0.3217,-0.4277,-0.5453,-0.6745,-0.7978,-0.8946,-0.9636,-1.0003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0001,-0.9988,-0.986,-0.9643,-0.9465,-0.936,-0.9296,-0.9266,-0.925,-0.925,-0.9251,-0.9241,-0.9196,-0.9146,-0.9114,-0.9103,-0.9095,-0.906,-0.9008,-0.8965,-0.8911,-0.8842,-0.8756,-0.8691,-0.8653,-0.8641,-0.8633,-0.8633,-0.8633,-0.8633,-0.8633,-0.8633,-0.8633,-0.8633,-0.8633,-0.8633,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0499,0.0506,0.0518,0.053,0.0541,0.0552,0.0553,0.0563,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.0561,0.0575,0.0617,0.0653,0.1007,0.1822,0.3035,0.4571,0.6242,0.8257,1.0277,1.2334,1.4358,1.5025,1.5002,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5001,1.4994,1.4938,1.4892,1.4832,1.475,1.4581,1.4389,1.4281,1.4227,1.4201,1.4177,1.4167,1.4167,1.4165,1.4148,1.4134,1.4135,1.4135,1.4135,1.4135,1.4114,1.4076,1.4035,1.401,1.398,1.3945,1.3889,1.3849,1.3824,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,
105,6,CORV,1,prac,WORD,NONWORD,2,1,0,359,1607,-0.0977,,0.0205,,1050,9,9,-0.4119,-0.4119,0.0515,0.0515,input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0014,0.0157,0.051,0.1045,0.169,0.2662,0.3791,0.5192,0.6377,0.7502,0.8571,0.9377,0.9382,0.976,1.0004,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.999,0.9983,1.004,0.9556,0.8284,0.8038,0.786,0.7828,0.7827,0.7828,0.7828,0.7831,0.7844,0.786,0.7875,0.7902,0.7922,0.7961,0.8021,0.8066,0.8101,0.8128,0.814,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.8141,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0499,0.0507,0.0541,0.0564,0.0568,0.0574,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0567,0.0643,0.0973,0.1771,0.2903,0.4258,0.6041,0.7896,0.9724,1.121,1.2742,1.4157,1.5029,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5033,1.4752,1.4006,1.3854,1.3759,1.3744,1.3739,1.374,1.374,1.3741,1.3734,1.373,1.372,1.3682,1.3658,1.3655,1.3654,1.3674,1.3724,1.378,1.3801,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,
105,102,HORSE,1,pm,WORD,NONWORD,1,2,0,31,1295,,0.1499,,0.1098,603,13,8,0.7116,0.7116,0.4619,0.4619,input: ,0.0002,-0.0005,-0.0012,-0.0017,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0018,-0.0023,-0.0023,-0.003,-0.003,-0.0037,-0.0051,-0.0063,-0.0077,-0.009,-0.0098,-0.0107,-0.0118,-0.0117,-0.0124,-0.0124,-0.0131,-0.0145,-0.0159,-0.0185,-0.0238,-0.034,-0.0471,-0.0651,-0.0931,-0.1281,-0.1467,-0.1784,-0.2172,-0.2535,-0.2952,-0.3387,-0.3908,-0.4575,-0.5362,-0.6195,-0.702,-0.7755,-0.8385,-0.8886,-0.9251,-0.9508,-0.9746,-0.9934,-1.0004,-1.0001,-1,-1,-1,-1,-1,-1,-1,-1,-1.0004,-0.9981,-0.9901,-0.9761,-0.9586,-0.9307,-0.9006,-0.876,-0.8593,-0.8497,-0.8463,-0.846,-0.8461,-0.8461,-0.8461,-0.8461,-0.8461,-0.8455,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,-0.8453,0.0499,0.0501,0.0496,0.0487,0.0477,0.0459,0.0457,0.0458,0.0458,0.0458,0.0458,0.0458,0.0457,0.0464,0.0469,0.047,0.0479,0.0487,0.0501,0.0524,0.0548,0.0563,0.0582,0.0591,0.0606,0.0616,0.0616,0.0625,0.0625,0.0624,0.0628,0.0639,0.0663,0.0732,0.0842,0.1062,0.1407,0.1885,0.2503,0.3241,0.3688,0.4413,0.5391,0.6439,0.7519,0.8517,0.9489,1.036,1.1144,1.191,1.2686,1.3407,1.4165,1.4761,1.5031,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5002,1.4976,1.4907,1.4785,1.4632,1.449,1.4323,1.4156,1.4028,1.3943,1.3891,1.3886,1.3877,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,
105,109,TIGER,1,pm,WORD,NONWORD,1,2,0,63,2293,,0.2922,,0.2647,1408,17,8,1.3576,1.3576,1.173,1.173,input: z,0,0,-0.0009,-0.0007,-0.0016,-0.0021,-0.0032,-0.0031,-0.0031,-0.0031,-0.0031,-0.0043,-0.0047,-0.0049,-0.0061,-0.0062,-0.0074,-0.0086,-0.0096,-0.0118,-0.015,-0.0181,-0.0214,-0.0249,-0.0258,-0.0265,-0.0268,-0.0273,-0.0273,-0.0273,-0.0274,-0.0281,-0.0281,-0.0242,-0.0144,-0.0118,-0.0109,-0.0115,-0.0145,-0.0168,-0.0212,-0.0286,-0.0365,-0.0414,-0.0462,-0.0484,-0.0506,-0.0522,-0.0537,-0.0572,-0.0604,-0.062,-0.0634,-0.0641,-0.0641,-0.0641,-0.0641,-0.0645,-0.0678,-0.0691,-0.0819,-0.1121,-0.1806,-0.289,-0.4232,-0.5377,-0.6273,-0.6972,-0.7591,-0.7838,-0.7853,-0.7852,-0.7852,-0.7857,-0.7859,-0.7857,-0.7886,-0.7967,-0.8129,-0.831,-0.8466,-0.8523,-0.8531,-0.8531,-0.8531,-0.8531,-0.853,-0.8539,-0.8539,-0.8539,-0.8539,-0.8532,-0.8531,-0.8531,-0.8531,-0.8531,-0.8531,-0.8531,-0.8531,-0.8531,-0.8531,0.05,0.05,0.05,0.05,0.05,0.0499,0.0511,0.051,0.051,0.051,0.051,0.0515,0.0521,0.0535,0.0559,0.0575,0.0597,0.0638,0.0665,0.0711,0.079,0.0866,0.0924,0.0997,0.1017,0.1049,0.1063,0.1062,0.1062,0.1061,0.1075,0.1112,0.1252,0.1749,0.254,0.3109,0.3278,0.3362,0.3455,0.352,0.3644,0.3862,0.4147,0.4374,0.4604,0.4706,0.4824,0.4935,0.5131,0.5469,0.5735,0.5906,0.6016,0.6038,0.6052,0.6052,0.6052,0.6077,0.6202,0.6383,0.6924,0.7683,0.8657,0.9762,1.0806,1.1573,1.2131,1.2544,1.2836,1.2915,1.2917,1.2917,1.2917,1.2917,1.2917,1.2915,1.2953,1.3111,1.3308,1.3472,1.3606,1.3664,1.3686,1.3701,1.3716,1.372,1.3729,1.3741,1.3782,1.3811,1.3851,1.3854,1.3854,1.3854,1.3854,1.3854,1.3854,1.3854,1.3854,1.3854,1.3854,
105,118,HORSE,1,pm,WORD,NONWORD,1,2,0,124,1762,,-0.1677,,0.0043,1186,5,2,-0.7292,-0.7292,-0.0227,-0.0227,input: z,0,0,0,0,0,0,0,-0.0008,-0.0016,-0.0028,-0.0048,-0.0052,-0.0076,-0.0092,-0.0106,-0.0117,-0.0125,-0.0142,-0.0152,-0.0172,-0.0211,-0.0258,-0.0302,-0.035,-0.0439,-0.0555,-0.0634,-0.0722,-0.0748,-0.075,-0.0754,-0.0775,-0.0822,-0.0932,-0.1124,-0.1323,-0.1455,-0.1504,-0.1517,-0.1516,-0.1515,-0.1538,-0.1659,-0.1913,-0.214,-0.2565,-0.311,-0.3698,-0.4238,-0.4791,-0.526,-0.5685,-0.6063,-0.6297,-0.6422,-0.6505,-0.6553,-0.6599,-0.6714,-0.6996,-0.7416,-0.7763,-0.8108,-0.8747,-0.9282,-0.9494,-0.9546,-0.9547,-0.9547,-0.9575,-0.9666,-0.9747,-0.9797,-0.9811,-0.9816,-0.9704,-0.9489,-0.9188,-0.8906,-0.8787,-0.8695,-0.8614,-0.8573,-0.8556,-0.8538,-0.8505,-0.8436,-0.8393,-0.8377,-0.8375,-0.8375,-0.8375,-0.8375,-0.8375,-0.8375,-0.8375,-0.8375,-0.8375,-0.8375,-0.8375,-0.8375,0.05,0.05,0.05,0.05,0.05,0.0498,0.0518,0.0542,0.0542,0.0556,0.0577,0.0588,0.0599,0.0612,0.0624,0.0625,0.0636,0.067,0.0694,0.0746,0.0866,0.0997,0.1128,0.124,0.144,0.174,0.194,0.2175,0.2245,0.225,0.2259,0.2329,0.2435,0.2674,0.2988,0.3336,0.3599,0.3756,0.3893,0.4038,0.4181,0.439,0.4885,0.5477,0.5966,0.6911,0.7783,0.8553,0.9161,0.9679,1.0068,1.042,1.0657,1.0803,1.089,1.0951,1.1018,1.1066,1.1137,1.1285,1.1435,1.1564,1.1732,1.2098,1.2488,1.2694,1.2728,1.2729,1.2737,1.2856,1.3051,1.3225,1.3409,1.3545,1.361,1.3667,1.3726,1.3769,1.3798,1.3802,1.3807,1.3828,1.3843,1.3854,1.3866,1.3905,1.3966,1.4008,1.4017,1.4021,1.4021,1.4021,1.4021,1.4021,1.4021,1.4021,1.4021,1.4021,1.4021,1.4021,1.4021,
105,128,TIGER,1,pm,WORD,NONWORD,1,2,0,218,1528,,0.1187,,0.0984,590,5,12,0.5701,0.5701,0.4093,0.4093,input: z,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009,-0.0001,-0.0013,-0.0018,-0.0038,-0.0064,-0.0074,-0.0081,-0.0091,-0.0107,-0.0124,-0.0146,-0.0159,-0.0177,-0.0212,-0.0291,-0.0428,-0.0661,-0.1034,-0.1373,-0.1719,-0.2021,-0.2334,-0.2751,-0.326,-0.3959,-0.4685,-0.5412,-0.5801,-0.6276,-0.6653,-0.678,-0.6797,-0.6797,-0.6797,-0.6797,-0.6797,-0.6798,-0.6794,-0.6786,-0.6778,-0.677,-0.6763,-0.6757,-0.6761,-0.6811,-0.6955,-0.7148,-0.7345,-0.7429,-0.7546,-0.7597,-0.7602,-0.7609,-0.7617,-0.764,-0.7655,-0.7677,-0.7705,-0.7737,-0.7761,-0.7782,-0.7823,-0.7867,-0.792,-0.7971,-0.8033,-0.8121,-0.8218,-0.8283,-0.8342,-0.8411,-0.8451,-0.8468,-0.8478,-0.8477,-0.8477,-0.8477,-0.8477,-0.8477,-0.8477,-0.8477,-0.8477,-0.8477,-0.8477,-0.8477,-0.8477,-0.8477,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0498,0.0518,0.0545,0.0552,0.0556,0.0567,0.0583,0.0595,0.0593,0.0601,0.0619,0.0628,0.0638,0.0648,0.0661,0.0696,0.0767,0.0895,0.1113,0.1494,0.2095,0.3014,0.4058,0.5222,0.652,0.7768,0.8969,0.9989,1.0923,1.1425,1.1921,1.2251,1.2348,1.2363,1.2365,1.2365,1.2365,1.2365,1.2366,1.236,1.2353,1.2353,1.236,1.2411,1.253,1.2699,1.2939,1.3284,1.3559,1.3768,1.3844,1.391,1.3939,1.3938,1.3938,1.3938,1.3899,1.3867,1.3827,1.3805,1.3783,1.3781,1.3774,1.3755,1.3743,1.3732,1.3728,1.3729,1.3726,1.375,1.3782,1.3812,1.3844,1.3865,1.3877,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,
11,3,BOAT,1,prac,WORD,NONWORD,1,1,0,297,3198,,-0.2706,,-0.1729,1773,8,9,1.545,1.545,1.2007,1.2007,input: ,0,0,0,0,0,0,0,0,-0.0002,-0.0004,0.0094,0.0229,0.0323,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0336,0.0341,0,-0.1618,-0.2905,-0.4506,-0.5953,-0.7795,-0.9854,-1,-0.9991,-0.9742,-0.9568,-0.9535,-0.9485,-0.9338,-0.9083,-0.8591,-0.8303,-0.8228,-0.8172,-0.8141,-0.8141,-0.8141,-0.8141,-0.8141,-0.8167,-0.818,-0.8196,-0.8203,-0.8211,-0.822,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8219,-0.8211,-0.8211,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0498,0.0604,0.1088,0.2111,0.2989,0.3261,0.337,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3365,0.3367,0.3548,0.4274,0.5376,0.6852,0.7947,0.9519,1.1502,1.2612,1.2721,1.2719,1.2718,1.2756,1.2787,1.2895,1.3167,1.3642,1.4001,1.4145,1.4208,1.424,1.424,1.424,1.424,1.4239,1.4228,1.4217,1.4198,1.4173,1.4168,1.4138,1.4125,1.4125,1.4125,1.4125,1.4126,1.4115,1.4099,1.406,1.4041,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4043,1.4022,1.401,1.401,
11,4,SPLERF,1,prac,WORD,NONWORD,2,1,0,374,2262,-0.1387,,-0.12,,1344,10,8,-1.1068,-1.1068,-1.1596,-1.1596,input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,-0.005,-0.0071,-0.007,-0.007,-0.007,-0.007,-0.0068,-0.0263,-0.1019,-0.13,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1289,-0.1301,-0.1125,-0.0694,-0.009,0.0616,0.121,0.2129,0.3199,0.4528,0.5964,0.7225,0.7961,0.8388,0.8864,0.9366,0.9959,0.9995,0.9992,0.9992,0.9992,0.9992,0.9992,0.9991,0.9992,0.9841,0.9546,0.9474,0.9298,0.9023,0.8787,0.8664,0.8535,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8462,0.8469,0.8469,0.8469,0.8469,0.8469,0.8469,0.8469,0.8469,0.8469,0.8469,0.8469,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0511,0.0508,0.0555,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0527,0.0074,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-0.0008,0.0245,0.0493,0.0793,0.1414,0.2036,0.3214,0.4742,0.6594,0.8257,0.9707,1.0677,1.1328,1.2039,1.2729,1.3559,1.4375,1.4954,1.4972,1.5,1.5,1.5,1.5,1.5002,1.4958,1.4754,1.4661,1.4493,1.4251,1.406,1.3986,1.3875,1.3814,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,1.3812,1.3809,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,1.3802,
