TRIAL BY TRIAL DATA
subject,trial,stimfile,condition,code,resp_1,resp_2,response,distractor,error,init time,RT,MD_1,MD_2,AUC_1,AUC_2,MD_time,x-flip,y-flip,z-MD-separate,z-MD-together,z-AUC-separate,z-AUC-together,comments,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,X_68,X_69,X_70,X_71,X_72,X_73,X_74,X_75,X_76,X_77,X_78,X_79,X_80,X_81,X_82,X_83,X_84,X_85,X_86,X_87,X_88,X_89,X_90,X_91,X_92,X_93,X_94,X_95,X_96,X_97,X_98,X_99,X_100,X_101,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Y_68,Y_69,Y_70,Y_71,Y_72,Y_73,Y_74,Y_75,Y_76,Y_77,Y_78,Y_79,Y_80,Y_81,Y_82,Y_83,Y_84,Y_85,Y_86,Y_87,Y_88,Y_89,Y_90,Y_91,Y_92,Y_93,Y_94,Y_95,Y_96,Y_97,Y_98,Y_99,Y_100,Y_101,
106,3,BOAT,2,prac,NONWORD,WORD,2,1,1,78,1700,-0.091,,-0.1363,,791,9,8,0,-0.6634,0,-0.8415,*1; input: ,0,0,0,0.0001,-0.0005,-0.0026,-0.0063,-0.0085,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0081,0.0021,0.0379,0.1081,0.21,0.3446,0.5027,0.6695,0.8266,0.9115,0.9723,0.9995,0.9992,0.9992,0.9992,0.9992,0.9992,0.9992,0.9994,0.9975,0.9968,0.9969,0.9969,0.9953,0.864,0.8533,0.8445,0.8409,0.84,0.8388,0.8367,0.8335,0.8321,0.8319,0.8324,0.8381,0.8438,0.8454,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8461,0.8462,0.8478,0.848,0.8493,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.8492,0.05,0.05,0.0499,0.0505,0.053,0.0548,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0552,0.0563,0.0708,0.1089,0.1823,0.2967,0.4643,0.675,0.9332,1.1887,1.3348,1.4531,1.5005,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.4983,1.3629,1.3559,1.3464,1.343,1.3408,1.3386,1.337,1.3344,1.3325,1.3321,1.3342,1.3494,1.3626,1.3715,1.3745,1.3761,1.376,1.376,1.376,1.376,1.376,1.376,1.376,1.376,1.376,1.3772,1.3806,1.3839,1.3856,1.3854,1.3854,1.3854,1.3854,1.3854,1.3854,1.3854,1.3854,1.3854,
106,4,SPLERF,1,prac,NONWORD,WORD,1,2,0,280,1622,,0.2616,,0.2125,883,10,7,0,0.8079,0,0.5108,input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,-0.001,-0.0091,-0.0231,-0.0345,-0.0371,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.0367,-0.037,-0.037,-0.0315,-0.0218,-0.0171,-0.025,-0.0522,-0.0984,-0.1365,-0.1903,-0.274,-0.3801,-0.4971,-0.6454,-0.7843,-0.8981,-0.9882,-1.0015,-1,-1,-1.0002,-0.9963,-0.9946,-0.993,-0.9938,-0.9938,-0.9918,-0.983,-0.9724,-0.9451,-0.9129,-0.8778,-0.8509,-0.8322,-0.825,-0.8221,-0.8203,-0.8181,-0.8166,-0.8143,-0.8116,-0.8104,-0.8102,-0.8097,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,-0.8094,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0502,0.048,0.0468,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469,0.0466,0.0486,0.0674,0.1092,0.1596,0.2162,0.3016,0.4336,0.543,0.681,0.882,1.1177,1.3693,1.4902,1.502,1.5,1.5,1.5,1.5,1.5,1.5006,1.491,1.4637,1.4303,1.4135,1.4,1.3877,1.3776,1.3727,1.3599,1.3495,1.3404,1.3365,1.3327,1.3322,1.3322,1.3331,1.3369,1.3414,1.3459,1.352,1.3569,1.3606,1.3643,1.3674,1.3708,1.3735,1.3739,1.3754,1.3776,1.379,1.3792,1.3792,1.3792,1.3792,1.3792,1.3792,1.3792,1.3792,
106,5,COIN,2,prac,NONWORD,WORD,2,1,1,219,1373,-0.066,,-0.0345,,816,12,9,0,-0.5589,0,-0.4467,*1; input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0001,0.0028,0.0057,0.0069,0.0073,0.0054,0.0008,-0.0038,-0.0079,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0078,-0.0077,-0.0089,-0.0102,-0.0029,0.024,0.0752,0.1409,0.1825,0.263,0.3638,0.4748,0.5869,0.6918,0.8001,0.8901,0.9617,0.976,0.9715,0.9832,1.0013,0.9992,0.9992,0.9992,0.9993,0.9987,0.9983,0.9984,0.999,0.9955,0.963,0.9597,0.955,0.9488,0.9408,0.9336,0.9298,0.9279,0.9274,0.9249,0.9216,0.9174,0.9116,0.9038,0.8952,0.8872,0.8778,0.8734,0.8709,0.8693,0.8687,0.8686,0.8679,0.868,0.868,0.868,0.868,0.868,0.868,0.868,0.868,0.868,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0499,0.0518,0.0522,0.0522,0.0516,0.0485,0.0431,0.0395,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0396,0.0389,0.0441,0.0508,0.0682,0.1124,0.1853,0.2804,0.335,0.4449,0.5834,0.7442,0.9214,1.1025,1.2954,1.4577,1.498,1.5011,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5007,1.4969,1.4631,1.4598,1.4532,1.4474,1.4414,1.4353,1.4318,1.4311,1.4302,1.4294,1.4284,1.428,1.4282,1.428,1.4265,1.4228,1.42,1.418,1.417,1.416,1.4156,1.4154,1.4144,1.4135,1.4135,1.4135,1.4135,1.4135,1.4135,1.4135,1.4135,1.4135,
106,6,CORV,1,prac,NONWORD,WORD,1,2,0,141,1311,,0.4903,,0.6026,441,9,9,0,1.7623,0,2.0229,input: ,0,0,0,0,0,0,0,0,-0.0001,0.0003,0.0029,0.0093,0.0192,0.0296,0.0422,0.0568,0.0713,0.0855,0.099,0.1166,0.1438,0.1763,0.2058,0.235,0.2564,0.2705,0.2776,0.2791,0.2767,0.2683,0.2631,0.2525,0.235,0.2111,0.1806,0.1367,0.0967,0.0652,0.0457,0.0366,0.0316,0.0283,0.024,0.0195,0.0154,0.0106,0.0033,-0.0047,-0.0175,-0.0311,-0.0522,-0.0841,-0.1201,-0.1444,-0.2021,-0.2754,-0.3635,-0.4608,-0.5545,-0.651,-0.74,-0.8117,-0.8634,-0.8934,-0.9019,-0.9031,-0.9034,-0.9016,-0.899,-0.8975,-0.8977,-0.8969,-0.8969,-0.8967,-0.8952,-0.892,-0.8882,-0.8862,-0.8832,-0.88,-0.8764,-0.8727,-0.871,-0.869,-0.8676,-0.8667,-0.8661,-0.8655,-0.8656,-0.8656,-0.8662,-0.8664,-0.8664,-0.8664,-0.8664,-0.8664,-0.8664,-0.8664,-0.8664,-0.8664,-0.8664,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0498,0.0505,0.0539,0.0623,0.0725,0.0818,0.0924,0.104,0.115,0.1268,0.1396,0.1581,0.1843,0.217,0.2538,0.2974,0.3439,0.3887,0.428,0.4604,0.4873,0.5116,0.5233,0.5485,0.5863,0.6305,0.6766,0.7228,0.7587,0.781,0.7905,0.7921,0.7917,0.7908,0.7869,0.7815,0.7749,0.7672,0.7587,0.7506,0.7436,0.7376,0.7341,0.7391,0.7573,0.7716,0.817,0.8793,0.9579,1.0495,1.1432,1.2274,1.2974,1.3506,1.3912,1.4195,1.4318,1.4391,1.442,1.4445,1.4463,1.4472,1.4479,1.4478,1.4494,1.4507,1.4546,1.4605,1.4625,1.4625,1.4627,1.4613,1.4574,1.4514,1.4446,1.4391,1.4349,1.4295,1.4241,1.4193,1.4134,1.4117,1.41,1.4088,1.4079,1.4072,1.4073,1.4073,1.4073,1.4073,1.4073,1.4073,1.4073,
106,102,HORSE,1,pm,NONWORD,WORD,2,1,0,218,1029,0.2796,,0.2569,,418,9,7,0,0.8829,0,0.6829,input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0001,0.0015,0.0039,0.0071,0.0105,0.0157,0.0226,0.0314,0.0403,0.0487,0.0577,0.0668,0.0759,0.0828,0.0866,0.0867,0.0864,0.0871,0.09,0.1009,0.1193,0.145,0.1776,0.216,0.2588,0.2996,0.3393,0.3826,0.4123,0.4351,0.4773,0.5219,0.5647,0.6037,0.6435,0.6844,0.7163,0.7466,0.7779,0.8101,0.8407,0.868,0.8863,0.8965,0.8988,0.8998,0.9001,0.9006,0.9011,0.9016,0.9022,0.9023,0.9023,0.9029,0.9032,0.9031,0.9032,0.9029,0.9023,0.9021,0.9009,0.8982,0.8952,0.8917,0.8876,0.8836,0.8804,0.8786,0.8766,0.8747,0.8731,0.8718,0.871,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0498,0.0501,0.0524,0.0582,0.067,0.0764,0.0925,0.1153,0.1418,0.173,0.2094,0.2516,0.3061,0.3738,0.4394,0.5037,0.5661,0.6158,0.6552,0.6857,0.7197,0.7579,0.8017,0.8502,0.9011,0.9511,0.993,1.0282,1.0625,1.0848,1.1016,1.1356,1.1696,1.2003,1.2311,1.2614,1.291,1.3149,1.3402,1.3697,1.4023,1.4331,1.4582,1.4776,1.4899,1.4933,1.4942,1.4938,1.4937,1.4942,1.4948,1.4948,1.4948,1.4948,1.4944,1.4929,1.4906,1.4881,1.4849,1.4813,1.4803,1.4776,1.4718,1.4656,1.4593,1.4534,1.4474,1.4425,1.4393,1.436,1.4328,1.4299,1.4281,1.427,1.4262,1.4259,1.426,1.426,1.426,1.426,1.426,1.426,1.426,
106,109,TIGER,1,pm,NONWORD,WORD,2,1,0,32,999,-0.1251,,-0.1091,,396,9,4,0,-0.8057,0,-0.7361,input: z,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0011,0.0019,0.0037,0.0061,0.0089,0.0121,0.0164,0.023,0.034,0.0503,0.0727,0.1015,0.137,0.1593,0.1849,0.2395,0.2989,0.3629,0.4398,0.5152,0.5856,0.6561,0.7255,0.7934,0.8506,0.8995,0.9454,0.979,0.9986,1.0011,0.9993,0.9994,0.9977,0.9922,0.9809,0.9651,0.9483,0.9376,0.9269,0.9155,0.9048,0.8944,0.8843,0.8791,0.877,0.8766,0.8766,0.8766,0.8766,0.8766,0.8766,0.8766,0.8766,0.8766,0.8766,0.8766,0.8766,0.8766,0.8766,0.8761,0.8757,0.8758,0.8758,0.8757,0.8751,0.8749,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.0516,0.0525,0.0538,0.0557,0.0578,0.0598,0.061,0.0616,0.0622,0.0628,0.0634,0.0646,0.0662,0.0681,0.0716,0.076,0.0803,0.0856,0.0926,0.1036,0.1203,0.1439,0.176,0.2159,0.2631,0.2915,0.3233,0.3938,0.4726,0.558,0.6565,0.7464,0.8228,0.902,0.9808,1.0583,1.1303,1.1974,1.2625,1.3127,1.3476,1.371,1.3848,1.3907,1.3961,1.401,1.4062,1.4083,1.4083,1.4086,1.4077,1.4054,1.4007,1.3951,1.3894,1.386,1.3841,1.3834,1.3832,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3834,1.3832,1.3825,1.3822,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,1.3823,
106,118,HORSE,1,pm,NONWORD,WORD,2,1,0,156,1014,-0.1388,,-0.0989,,492,5,8,0,-0.8629,0,-0.6965,input: z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002,0.0003,0.002,0.007,0.0175,0.035,0.0637,0.1028,0.1535,0.1868,0.2214,0.2915,0.3699,0.4548,0.5507,0.6398,0.7179,0.7968,0.8636,0.9125,0.9493,0.9718,0.9775,0.9786,0.9763,0.9716,0.9658,0.9601,0.9572,0.9559,0.9556,0.9538,0.9498,0.9431,0.9376,0.9321,0.926,0.9211,0.9175,0.9158,0.9126,0.9083,0.9042,0.9008,0.898,0.8952,0.893,0.8916,0.8908,0.8906,0.8906,0.8903,0.8897,0.8892,0.889,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.8891,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0501,0.05,0.0484,0.045,0.0401,0.0364,0.034,0.0334,0.0332,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.033,0.0336,0.036,0.0436,0.0621,0.0948,0.1373,0.1941,0.2719,0.3253,0.3784,0.4763,0.5823,0.6921,0.8055,0.9055,0.9882,1.067,1.134,1.1866,1.235,1.2725,1.2925,1.3044,1.3112,1.3171,1.3209,1.3229,1.3238,1.3241,1.324,1.3243,1.3234,1.321,1.3205,1.321,1.322,1.3259,1.3307,1.3324,1.3398,1.3519,1.3641,1.3743,1.3817,1.3858,1.3887,1.3913,1.3924,1.3929,1.3935,1.3947,1.3959,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,
106,128,TIGER,1,pm,NONWORD,WORD,2,1,0,281,999,-0.0667,,-0.0471,,574,11,2,0,-0.5621,0,-0.4958,input: z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0005,0.0005,0.0044,0.0179,0.0414,0.0751,0.1191,0.1737,0.2423,0.3133,0.3789,0.4415,0.5012,0.5597,0.6074,0.6438,0.6717,0.6905,0.7007,0.7084,0.7146,0.7206,0.7278,0.7366,0.7477,0.7597,0.7725,0.7877,0.8032,0.8178,0.8292,0.8369,0.8396,0.8436,0.8478,0.8501,0.851,0.8508,0.8508,0.8508,0.8508,0.8508,0.8509,0.8514,0.8516,0.8516,0.8521,0.8523,0.8523,0.8523,0.8523,0.8524,0.8518,0.8507,0.8496,0.8488,0.8484,0.8484,0.8483,0.8478,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.8477,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0492,0.0508,0.0572,0.0824,0.1258,0.1819,0.2476,0.321,0.4012,0.4808,0.5547,0.6332,0.713,0.7903,0.8533,0.9021,0.943,0.9729,0.9918,1.0062,1.018,1.0293,1.0429,1.0584,1.0755,1.093,1.1104,1.1255,1.14,1.1546,1.1682,1.1783,1.1817,1.189,1.1982,1.2036,1.2081,1.2121,1.2164,1.2215,1.2278,1.2337,1.2395,1.2456,1.2497,1.2522,1.2561,1.2595,1.2622,1.2651,1.2689,1.2741,1.2799,1.2864,1.2937,1.3001,1.3052,1.3088,1.3114,1.3132,1.3137,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,1.3135,
112,3,BOAT,2,prac,NONWORD,WORD,2,1,1,640,2777,0.2659,,0.1571,,1760,12,9,0,0,0,0,*1; input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0025,0.0073,0.0113,0.0164,0.0181,0.0177,0.0099,0.0047,-0.0001,-0.006,-0.0093,-0.0109,-0.0111,-0.0159,-0.0188,-0.0195,-0.0195,-0.0196,-0.0162,-0.012,-0.0105,-0.0102,-0.0102,-0.0102,-0.0102,-0.0101,-0.0126,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0125,-0.0131,0.0065,0.0801,0.1938,0.3239,0.4366,0.5548,0.6723,0.7613,0.867,0.9565,0.9796,0.9929,0.9994,0.9992,0.9997,0.98,0.9748,0.9685,0.9636,0.9609,0.959,0.9526,0.9428,0.9348,0.9286,0.9201,0.9085,0.8976,0.8931,0.8922,0.891,0.8896,0.8891,0.8891,0.8891,0.8891,0.8891,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0606,0.0726,0.0851,0.1053,0.1393,0.1837,0.2331,0.2786,0.3194,0.3568,0.3794,0.3988,0.4204,0.4389,0.4509,0.4568,0.462,0.4767,0.4963,0.5084,0.5132,0.5147,0.5156,0.5156,0.5156,0.5156,0.5146,0.5146,0.5146,0.5146,0.5146,0.5146,0.5146,0.5146,0.5146,0.5146,0.5146,0.5146,0.5146,0.5146,0.5145,0.5194,0.5494,0.6095,0.6974,0.8106,0.9663,1.1469,1.2866,1.4551,1.5016,1.5,1.5,1.5,1.5,1.5008,1.4682,1.4623,1.4565,1.4541,1.4542,1.4525,1.4461,1.4397,1.4374,1.4329,1.4226,1.4139,1.409,1.4073,1.4065,1.4058,1.4041,1.4042,1.4042,1.4042,1.4042,1.4042,
112,4,SPLERF,1,prac,NONWORD,WORD,1,2,0,921,1701,,0.1328,,0.1455,994,12,9,0,0,0,0,input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,-0.0005,-0.0198,-0.0794,-0.171,-0.2885,-0.4112,-0.5399,-0.6446,-0.7128,-0.7281,-0.7297,-0.7297,-0.7297,-0.7295,-0.7286,-0.7281,-0.7281,-0.7281,-0.7281,-0.7281,-0.7281,-0.7279,-0.7364,-0.7689,-0.8135,-0.8534,-0.8666,-0.8683,-0.868,-0.8681,-0.8676,-0.8659,-0.8649,-0.8648,-0.8648,-0.8648,-0.8647,-0.8639,-0.8631,-0.8621,-0.8617,-0.8617,-0.8617,-0.8617,-0.8617,-0.8617,-0.8617,-0.8617,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0493,0.0544,0.121,0.292,0.5154,0.7419,0.943,1.1172,1.2282,1.2877,1.3073,1.3105,1.3126,1.3125,1.3123,1.3105,1.3062,1.2976,1.2856,1.278,1.277,1.2771,1.2767,1.2923,1.3351,1.3832,1.4197,1.4283,1.4282,1.4281,1.4284,1.4254,1.4223,1.421,1.4199,1.4198,1.4197,1.4173,1.4133,1.4072,1.4042,1.403,1.4031,1.4031,1.4031,1.4031,1.4031,1.4031,1.4031,
