TRIAL BY TRIAL DATA
subject,trial,stimfile,condition,code,resp_1,resp_2,response,distractor,error,init time,RT,MD_1,MD_2,AUC_1,AUC_2,MD_time,x-flip,y-flip,z-MD-separate,z-MD-together,z-AUC-separate,z-AUC-together,comments,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,X_68,X_69,X_70,X_71,X_72,X_73,X_74,X_75,X_76,X_77,X_78,X_79,X_80,X_81,X_82,X_83,X_84,X_85,X_86,X_87,X_88,X_89,X_90,X_91,X_92,X_93,X_94,X_95,X_96,X_97,X_98,X_99,X_100,X_101,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Y_68,Y_69,Y_70,Y_71,Y_72,Y_73,Y_74,Y_75,Y_76,Y_77,Y_78,Y_79,Y_80,Y_81,Y_82,Y_83,Y_84,Y_85,Y_86,Y_87,Y_88,Y_89,Y_90,Y_91,Y_92,Y_93,Y_94,Y_95,Y_96,Y_97,Y_98,Y_99,Y_100,Y_101,
10,3,BOAT,2,prac,NONWORD,WORD,2,1,1,94,1825,0.2586,,0.3336,,777,10,10,0.7071,0,0.7071,0,*1; input: ,0,0,0,0,0,0,0,0,0,0.0004,0.0013,0.003,0.0057,0.0096,0.0175,0.0324,0.045,0.0617,0.0823,0.099,0.1107,0.1133,0.1079,0.0973,0.0861,0.0765,0.0696,0.0634,0.0588,0.0571,0.057,0.0562,0.0562,0.0562,0.0562,0.0556,0.0629,0.0829,0.1128,0.1529,0.2009,0.2511,0.3045,0.3675,0.4414,0.5156,0.5891,0.6495,0.7013,0.7389,0.7604,0.764,0.766,0.7664,0.7665,0.765,0.7641,0.7641,0.7643,0.7648,0.7649,0.7642,0.7633,0.7633,0.7633,0.7632,0.7641,0.7711,0.7896,0.799,0.8145,0.8234,0.8269,0.8273,0.8273,0.8273,0.8273,0.8273,0.8273,0.8273,0.8273,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.8266,0.05,0.05,0.05,0.0499,0.0508,0.051,0.0522,0.0534,0.0542,0.0548,0.0551,0.0571,0.0618,0.0688,0.0863,0.1165,0.1441,0.1828,0.2395,0.2939,0.3493,0.3956,0.4334,0.4658,0.4883,0.4964,0.4992,0.4994,0.5,0.5,0.5,0.5,0.5003,0.5032,0.5116,0.5331,0.5682,0.6175,0.6764,0.7516,0.8403,0.9401,1.0453,1.1475,1.2579,1.3572,1.4599,1.5032,1.5,1.5,1.5,1.5,1.5,1.5004,1.4971,1.4817,1.4574,1.4328,1.4139,1.3991,1.3874,1.38,1.3751,1.3728,1.3729,1.3724,1.3718,1.379,1.393,1.4005,1.4124,1.4182,1.4206,1.4208,1.4208,1.4198,1.4171,1.4139,1.411,1.4079,1.4064,1.4052,1.4051,1.4041,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,1.4042,
10,4,SPLERF,1,prac,NONWORD,WORD,1,2,0,32,1514,,0.3901,,0.5091,824,10,11,0,0,0,0,input: ,0,-0.0007,-0.0021,-0.003,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.003,-0.0019,0.0013,0.0065,0.0128,0.0179,0.0218,0.0256,0.0264,0.0287,0.0289,0.0295,0.0303,0.031,0.0312,0.0317,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.0319,0.0324,0.0351,0.0393,0.0466,0.0536,0.0571,0.0568,0.0474,0.0275,-0.0053,-0.0526,-0.111,-0.178,-0.2638,-0.3546,-0.4035,-0.473,-0.5547,-0.626,-0.683,-0.7219,-0.7464,-0.7575,-0.7593,-0.7586,-0.7536,-0.7448,-0.7346,-0.7263,-0.7224,-0.7227,-0.7234,-0.725,-0.725,-0.725,-0.725,-0.7255,-0.7279,-0.7356,-0.7486,-0.7565,-0.7591,-0.7595,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,-0.7594,0.0501,0.0491,0.048,0.0479,0.0479,0.0478,0.0485,0.0503,0.0524,0.0538,0.0547,0.0562,0.0582,0.0607,0.0637,0.0666,0.0704,0.0769,0.0856,0.0959,0.1086,0.1227,0.1405,0.1582,0.1757,0.1924,0.2071,0.2218,0.2356,0.2467,0.2573,0.265,0.2705,0.2735,0.2741,0.274,0.274,0.274,0.274,0.274,0.274,0.274,0.2739,0.2742,0.2774,0.2899,0.3179,0.3568,0.4116,0.486,0.5738,0.6816,0.7956,0.9102,1.0338,1.1453,1.2648,1.3783,1.438,1.4854,1.5026,1.5,1.5,1.5,1.5,1.5,1.5003,1.4981,1.4884,1.473,1.4511,1.4264,1.4018,1.3833,1.3749,1.3708,1.3708,1.3708,1.3708,1.3699,1.3704,1.3738,1.3798,1.3838,1.3845,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,1.3844,
10,5,COIN,2,prac,NONWORD,WORD,2,1,1,141,1030,-0.0547,,-0.0393,,612,6,8,-0.7071,0,-0.7071,0,*1; input: ,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,-0.0001,-0.0007,-0.0009,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0009,0.0008,0.0061,0.0145,0.0257,0.0396,0.0548,0.0724,0.0941,0.1182,0.1432,0.1655,0.1911,0.22,0.2502,0.2837,0.3207,0.3608,0.4035,0.4488,0.4983,0.5457,0.5884,0.6279,0.6636,0.6953,0.7227,0.7474,0.771,0.7824,0.7908,0.806,0.8179,0.826,0.8301,0.8325,0.8337,0.8343,0.8345,0.8344,0.8344,0.8344,0.8344,0.8344,0.8344,0.8344,0.8343,0.8346,0.8358,0.8369,0.8376,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.8375,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0499,0.0505,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.0508,0.0515,0.0538,0.0545,0.0575,0.0661,0.0786,0.0952,0.1164,0.1406,0.1677,0.1974,0.229,0.2618,0.2941,0.3318,0.3749,0.42,0.4683,0.521,0.5832,0.6496,0.7177,0.7848,0.8469,0.9024,0.9548,1.0066,1.06,1.1108,1.1622,1.2175,1.245,1.2671,1.3083,1.3416,1.3658,1.3803,1.3885,1.3921,1.3935,1.3943,1.3948,1.3948,1.3948,1.3948,1.3949,1.3946,1.3939,1.3932,1.3924,1.3918,1.3917,1.3915,1.3907,1.3905,1.3906,1.3906,1.3907,1.3904,1.3889,1.3879,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,1.3875,
10,6,CORV,1,prac,NONWORD,WORD,1,2,0,94,1763,,0.3139,,0.2172,943,6,9,0,0,0,0,input: ,0,0,0,0,0.0005,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0,-0.0001,-0.0009,-0.0008,-0.0008,-0.0007,-0.0014,-0.0022,-0.004,-0.008,-0.0222,-0.0452,-0.0776,-0.1134,-0.1505,-0.1879,-0.2269,-0.2642,-0.3005,-0.3381,-0.3662,-0.3833,-0.3944,-0.4067,-0.4179,-0.4322,-0.4441,-0.4488,-0.4574,-0.4639,-0.4694,-0.4753,-0.4869,-0.5061,-0.5271,-0.5492,-0.5706,-0.5882,-0.5999,-0.6186,-0.6402,-0.6612,-0.6779,-0.6825,-0.6831,-0.6835,-0.6845,-0.6889,-0.6954,-0.7049,-0.72,-0.7315,-0.7357,-0.7362,-0.7367,-0.7376,-0.74,-0.7434,-0.7468,-0.7494,-0.7503,-0.7519,-0.7526,-0.7534,-0.7564,-0.7616,-0.7685,-0.772,-0.7735,-0.7734,-0.7734,-0.7734,-0.7734,-0.7734,-0.7734,-0.7734,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.051,0.0522,0.0533,0.0545,0.0556,0.0567,0.0587,0.0607,0.0681,0.0837,0.1017,0.1489,0.2085,0.2828,0.3642,0.454,0.5472,0.6517,0.7495,0.849,0.9507,1.0514,1.1467,1.2292,1.3027,1.3578,1.4094,1.4437,1.4572,1.4769,1.4834,1.4848,1.4823,1.4757,1.4668,1.461,1.4593,1.4592,1.4571,1.4521,1.4461,1.442,1.4426,1.4459,1.4458,1.4458,1.4455,1.4436,1.4421,1.4401,1.4377,1.4353,1.4306,1.4256,1.4209,1.4183,1.4154,1.4122,1.4097,1.4074,1.406,1.4041,1.4039,1.4026,1.4021,1.4013,1.4011,1.3991,1.3979,1.3979,1.3977,1.3968,1.3969,1.3969,1.3969,1.3969,1.3969,
10,102,HORSE,1,pm,NONWORD,WORD,2,1,0,422,1919,-0.1314,,-0.0252,,1121,10,4,0,0,0,0,input: z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0006,0.0008,0.0008,0.0008,0.0008,0.0008,0.0016,0.0027,0.0048,0.006,0.007,0.0071,0.0078,0.0082,0.01,0.0102,0.0109,0.0109,0.0109,0.0109,0.0109,0.0113,0.0121,0.0224,0.0508,0.0945,0.1502,0.2129,0.2735,0.3317,0.3819,0.4359,0.5065,0.6001,0.7041,0.7778,0.8193,0.8293,0.8305,0.8305,0.8302,0.8292,0.8281,0.828,0.827,0.8261,0.8258,0.8258,0.8258,0.8259,0.8247,0.8235,0.8234,0.8234,0.8234,0.8234,0.8234,0.8234,0.8234,0.8234,0.8234,0.8234,0.8225,0.8218,0.8219,0.8219,0.8219,0.8219,0.8219,0.8219,0.8219,0.8219,0.8223,0.8227,0.8227,0.8227,0.8227,0.8227,0.8227,0.8227,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0499,0.0508,0.0533,0.0574,0.0625,0.0678,0.0707,0.0732,0.0749,0.0801,0.0874,0.0929,0.0941,0.0949,0.0948,0.0948,0.0949,0.097,0.1009,0.1222,0.1667,0.2377,0.3257,0.423,0.5144,0.6092,0.7072,0.8162,0.9145,0.9932,1.0547,1.1045,1.1391,1.1546,1.1628,1.1649,1.1661,1.1681,1.1706,1.1755,1.1808,1.1856,1.1906,1.2,1.2107,1.2244,1.2468,1.2758,1.3118,1.3425,1.3741,1.392,1.4125,1.4245,1.4318,1.4348,1.4354,1.4354,1.4366,1.4354,1.4345,1.4324,1.4297,1.4228,1.4137,1.4053,1.399,1.3965,1.3957,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,1.3958,
10,109,TIGER,1,pm,NONWORD,WORD,2,1,0,140,2480,0.9881,,2.1292,,1645,6,10,0,0,0,0,input: z,0,0,0,0,0,0.0003,0.0023,0.0052,0.009,0.0113,0.013,0.0155,0.0176,0.0196,0.0208,0.0219,0.0219,0.0219,0.0226,0.0266,0.0355,0.0555,0.1011,0.1664,0.237,0.3008,0.3595,0.3868,0.4133,0.4297,0.447,0.4686,0.49,0.5112,0.5343,0.5642,0.5917,0.6208,0.6512,0.67,0.6745,0.6766,0.6754,0.6642,0.6483,0.6415,0.6414,0.641,0.6406,0.6406,0.6402,0.629,0.5922,0.5361,0.4424,0.3006,0.1341,-0.025,-0.1471,-0.2342,-0.2872,-0.3151,-0.3315,-0.3426,-0.3494,-0.3508,-0.3517,-0.3516,-0.3434,-0.2854,-0.1677,-0.0321,0.1101,0.2486,0.3673,0.4639,0.5385,0.609,0.648,0.7059,0.7518,0.804,0.8511,0.8759,0.8795,0.8797,0.8797,0.8797,0.8797,0.8797,0.8797,0.8784,0.877,0.8758,0.875,0.8742,0.8742,0.8742,0.8742,0.8742,0.8742,0.05,0.05,0.05,0.05,0.0499,0.0519,0.0542,0.0574,0.0606,0.0637,0.0676,0.0736,0.0809,0.0909,0.099,0.1143,0.1338,0.1618,0.1881,0.2174,0.2447,0.2836,0.3368,0.4004,0.4684,0.5378,0.6167,0.6582,0.7179,0.7721,0.824,0.8768,0.9247,0.9682,1.0019,1.0366,1.0696,1.1026,1.1323,1.1517,1.1597,1.167,1.1719,1.1773,1.1839,1.187,1.1875,1.1875,1.1875,1.1875,1.1877,1.1901,1.1982,1.2083,1.2261,1.2428,1.2756,1.309,1.3334,1.3497,1.3552,1.3531,1.3448,1.3383,1.3338,1.3333,1.3322,1.3323,1.3326,1.3274,1.3214,1.3197,1.3198,1.3187,1.3188,1.3216,1.3349,1.3534,1.3668,1.3892,1.4077,1.4259,1.436,1.4386,1.4385,1.4385,1.4385,1.4354,1.4332,1.4309,1.429,1.4256,1.4211,1.4178,1.415,1.4135,1.4135,1.4135,1.4135,1.4135,1.4135,
10,118,HORSE,1,pm,NONWORD,WORD,2,1,0,452,1388,0.0816,,0.1003,,728,4,4,0,0,0,0,input: z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0007,0.0022,0.0051,0.0114,0.0196,0.0303,0.0438,0.0531,0.0741,0.1028,0.1332,0.1668,0.1945,0.2219,0.2499,0.277,0.3077,0.3415,0.3744,0.4057,0.4392,0.4691,0.4986,0.5271,0.5529,0.5803,0.6075,0.6318,0.6546,0.6726,0.6807,0.6967,0.7117,0.7278,0.7461,0.7643,0.781,0.7967,0.8037,0.8075,0.8079,0.8078,0.8078,0.8078,0.8078,0.8079,0.8086,0.81,0.8121,0.813,0.8142,0.8149,0.8148,0.8148,0.8148,0.8148,0.8148,0.8148,0.8148,0.8148,0.8148,0.8148,0.8148,0.8148,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0501,0.0512,0.053,0.054,0.0555,0.0579,0.0626,0.0702,0.0824,0.1029,0.1275,0.1607,0.1999,0.2247,0.2718,0.3339,0.3936,0.4534,0.5065,0.5603,0.6121,0.6598,0.709,0.7622,0.8163,0.8696,0.9243,0.9713,1.0162,1.0583,1.0943,1.1312,1.1668,1.1985,1.2291,1.2531,1.2668,1.2918,1.3149,1.337,1.3582,1.3785,1.3975,1.4118,1.4196,1.4227,1.423,1.4229,1.4229,1.4231,1.4222,1.4177,1.4102,1.4012,1.3932,1.388,1.3844,1.3831,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,1.3833,
10,128,TIGER,1,pm,NONWORD,WORD,2,1,0,31,1466,-0.1346,,-0.1498,,523,13,8,0,0,0,0,input: z,-0.0007,-0.0036,-0.0053,-0.0055,-0.0055,-0.0055,-0.0055,-0.0055,-0.0055,-0.0055,-0.0055,-0.0055,-0.0055,-0.0055,-0.0047,-0.0047,-0.0041,-0.0026,-0.0018,-0.0007,0.0009,0.0046,0.014,0.0328,0.0573,0.0792,0.103,0.1169,0.1444,0.1755,0.2031,0.2302,0.2632,0.302,0.3464,0.3931,0.4358,0.4796,0.531,0.5831,0.6374,0.684,0.7277,0.7626,0.7834,0.793,0.7947,0.793,0.7916,0.7913,0.7916,0.7933,0.7963,0.7991,0.8027,0.8086,0.8165,0.8272,0.8385,0.8506,0.861,0.8699,0.8757,0.8797,0.8826,0.8841,0.8845,0.8844,0.8844,0.8844,0.8844,0.8844,0.8844,0.8844,0.8844,0.8846,0.883,0.8802,0.8767,0.8739,0.8715,0.8688,0.8677,0.8671,0.8672,0.8672,0.8664,0.8664,0.8664,0.8664,0.8664,0.8664,0.8664,0.8664,0.8661,0.8655,0.8656,0.8656,0.8656,0.8656,0.8656,0.05,0.05,0.05,0.05,0.05,0.0499,0.0505,0.0511,0.0509,0.0513,0.0522,0.0521,0.0521,0.0521,0.0521,0.0521,0.0521,0.0521,0.052,0.0527,0.0535,0.0553,0.0604,0.0689,0.0777,0.0874,0.1013,0.1098,0.1311,0.1543,0.1796,0.2058,0.2434,0.287,0.3374,0.4017,0.4757,0.5567,0.6421,0.7249,0.8117,0.884,0.9527,1.0175,1.0637,1.1011,1.128,1.1538,1.1683,1.1798,1.1921,1.2038,1.2145,1.2222,1.2325,1.2432,1.2564,1.2697,1.2838,1.2982,1.3084,1.3159,1.3213,1.3255,1.3278,1.3282,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3279,1.3297,1.3308,1.3324,1.3349,1.3382,1.3425,1.3475,1.3521,1.356,1.3585,1.3594,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,1.3604,
110,3,BOAT,2,prac,NONWORD,WORD,2,1,1,31,1732,-0.262,,-0.1916,,823,11,6,-0.7071,0,-0.7071,0,*1; input: ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001,0.0016,0.0042,0.0094,0.0123,0.0139,0.0152,0.0161,0.0164,0.0166,0.0143,0.0133,0.0135,0.0197,0.035,0.0563,0.0894,0.1314,0.1819,0.2453,0.3134,0.3895,0.4614,0.5279,0.6003,0.6605,0.7089,0.776,0.8296,0.871,0.903,0.9207,0.9299,0.9313,0.9297,0.9247,0.9183,0.9117,0.9062,0.9016,0.8981,0.8947,0.8913,0.8905,0.8897,0.8897,0.8907,0.8935,0.8963,0.8972,0.8944,0.89,0.8858,0.8859,0.8859,0.8857,0.8851,0.8852,0.8853,0.8846,0.8838,0.8821,0.8804,0.8778,0.8753,0.8724,0.8692,0.867,0.8658,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.8656,0.0501,0.0511,0.0513,0.0525,0.0536,0.0548,0.056,0.0562,0.0572,0.0583,0.0595,0.0604,0.0607,0.0618,0.0635,0.0652,0.067,0.0701,0.0743,0.0812,0.0951,0.119,0.1399,0.1551,0.1695,0.1792,0.1907,0.2051,0.2185,0.2319,0.2466,0.2693,0.293,0.3188,0.3486,0.3816,0.4158,0.4523,0.4863,0.5207,0.5612,0.6113,0.6703,0.7202,0.7584,0.8188,0.88,0.9379,0.9994,1.0504,1.0994,1.1386,1.1643,1.178,1.181,1.1812,1.1814,1.1797,1.1773,1.1771,1.1772,1.1795,1.1826,1.1898,1.2025,1.2232,1.2506,1.286,1.3263,1.3734,1.4138,1.4517,1.4739,1.4857,1.4894,1.4897,1.4896,1.4896,1.4897,1.4877,1.4842,1.4795,1.4725,1.4631,1.4501,1.4378,1.4278,1.4209,1.4179,1.4177,1.4177,1.4178,1.4191,1.4199,1.4198,1.4198,1.4198,1.4198,1.4198,1.4198,1.4198,
110,4,SPLERF,1,prac,NONWORD,WORD,1,2,0,32,2543,,0.3588,,0.3729,1234,6,7,0,0,0,0,input: ,0,0,0.0007,0.0008,0.0008,0.0008,0.0008,0.0008,0.0012,0.0017,0.0023,0.0031,0.0046,0.0075,0.0116,0.0211,0.0356,0.047,0.0521,0.0548,0.0547,0.0546,0.0563,0.0582,0.0588,0.0594,0.0594,0.0594,0.0594,0.0594,0.0585,0.0562,0.0546,0.054,0.0535,0.0531,0.0531,0.0531,0.0531,0.0531,0.0528,0.0477,0.0416,0.0329,0.0237,0.016,0.0047,-0.0177,-0.054,-0.092,-0.1504,-0.2018,-0.2411,-0.2843,-0.3324,-0.3743,-0.4066,-0.4493,-0.501,-0.5357,-0.5448,-0.5462,-0.5491,-0.5539,-0.5598,-0.5669,-0.5766,-0.587,-0.5929,-0.5945,-0.5962,-0.5987,-0.6017,-0.6072,-0.6126,-0.6218,-0.6553,-0.684,-0.7062,-0.7217,-0.7309,-0.735,-0.7359,-0.7359,-0.7359,-0.7359,-0.7372,-0.7437,-0.7495,-0.757,-0.7671,-0.7721,-0.7727,-0.7727,-0.7727,-0.7727,-0.7727,-0.7727,-0.7727,-0.7727,-0.7727,0.0507,0.0512,0.0521,0.0532,0.0531,0.0538,0.0552,0.0561,0.0573,0.0584,0.0601,0.0615,0.0634,0.0712,0.0929,0.1277,0.1697,0.2064,0.2302,0.2551,0.2716,0.2856,0.3051,0.3252,0.3363,0.3503,0.3625,0.3708,0.379,0.3861,0.3918,0.3951,0.3972,0.3979,0.3991,0.399,0.399,0.399,0.399,0.3989,0.4003,0.4053,0.4144,0.4382,0.4991,0.5779,0.6633,0.7625,0.8635,0.9257,1.0057,1.0683,1.1132,1.1469,1.1747,1.1908,1.2018,1.2054,1.2052,1.2052,1.2051,1.2063,1.2092,1.215,1.2254,1.237,1.2558,1.2725,1.2793,1.2822,1.2872,1.2921,1.2963,1.3004,1.3053,1.3145,1.3423,1.3593,1.3734,1.3837,1.388,1.3907,1.3906,1.3906,1.3906,1.3906,1.391,1.3927,1.3927,1.3927,1.3927,1.3927,1.3927,1.3927,1.3927,1.3927,1.3927,1.3927,1.3927,1.3927,1.3927,
